Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2017-12-26,U (Sep 2018),0.0000,16.2000,16.7500,0,16.4250,0,0,0,0
2017-12-27,U (Sep 2018),16.2000,16.2600,16.1300,16.2600,16.2750,-0.1500,28,0,24
2017-12-28,U (Sep 2018),16.2000,16.2500,16.2000,16.2500,16.2500,-0.0250,11,0,35
2017-12-29,U (Sep 2018),16.2600,16.2600,16.0000,16.1700,16.2000,-0.0500,162,0,187
2018-01-02,U (Sep 2018),16.1000,16.1300,15.9500,16.0800,16.1000,-0.1000,66,0,226
2018-01-03,U (Sep 2018),16.0000,16.0000,15.8800,15.9400,15.9250,-0.1750,207,0,412
2018-01-04,U (Sep 2018),0.0000,15.9000,15.9500,0.0000,15.9250,0.0000,0,0,412
2018-01-05,U (Sep 2018),15.8500,16.0000,15.8100,15.8500,15.8000,-0.1250,53,0,439
2018-01-08,U (Sep 2018),15.8500,15.8500,15.7200,15.7400,15.7500,-0.0500,46,0,483
2018-01-09,U (Sep 2018),15.7200,15.8000,15.7000,15.7800,15.7750,0.0250,75,0,547
2018-01-10,U (Sep 2018),15.8000,15.8500,15.6500,15.7500,15.7000,-0.0750,33,0,551
2018-01-11,U (Sep 2018),15.6000,15.6500,15.5200,15.5200,15.5250,-0.1750,250,0,723
2018-01-12,U (Sep 2018),15.4000,15.4600,15.3900,15.3900,15.4500,-0.0750,286,0,850
2018-01-16,U (Sep 2018),15.3800,15.9100,15.3800,15.8800,15.8500,0.4000,398,0,1087
2018-01-17,U (Sep 2018),15.9000,15.9000,15.6300,15.7300,15.7000,-0.1500,2051,0,2257
2018-01-18,U (Sep 2018),15.6500,15.8800,15.4800,15.6300,15.6500,-0.0500,1651,0,3155
2018-01-19,U (Sep 2018),15.7000,15.7800,15.5300,15.6500,15.6500,0.0000,425,0,3299
2018-01-22,U (Sep 2018),15.6900,15.7800,15.5100,15.5300,15.5250,-0.1250,561,0,3506
2018-01-23,U (Sep 2018),15.5000,15.7800,15.4800,15.7100,15.7000,0.1750,931,0,3709
2018-01-24,U (Sep 2018),15.7000,15.9600,15.6500,15.7300,15.7500,0.0500,1426,0,4296
2018-01-25,U (Sep 2018),15.7500,15.8300,15.6500,15.7900,15.7750,0.0250,517,0,4352
2018-01-26,U (Sep 2018),15.7800,15.8000,15.6500,15.7000,15.7000,-0.0750,705,0,4632
2018-01-29,U (Sep 2018),15.7500,16.0700,15.7500,16.0000,16.0000,0.3000,663,0,4663
2018-01-30,U (Sep 2018),16.0500,16.3700,15.9600,16.1000,16.1250,0.1250,1555,0,4941
2018-01-31,U (Sep 2018),16.1000,16.1300,15.7800,15.8600,15.8750,-0.2500,2405,0,5875
2018-02-01,U (Sep 2018),15.8500,16.0000,15.6600,15.7800,15.7750,-0.1000,1254,0,5970
2018-02-02,U (Sep 2018),15.6500,16.3000,15.6000,16.2000,16.2250,0.4500,1394,0,6308
2018-02-05,U (Sep 2018),16.3000,20.0000,16.0500,18.0000,18.9250,2.7000,2811,0,6757
2018-02-06,U (Sep 2018),18.9500,20.4000,17.7500,18.9000,18.9000,-0.0250,5113,0,7575
2018-02-07,U (Sep 2018),18.6000,18.6500,17.4000,18.0000,18.0500,-0.8500,2805,0,9086
2018-02-08,U (Sep 2018),18.1500,19.3200,17.9000,18.8300,18.8750,0.8250,2507,0,9639
2018-02-09,U (Sep 2018),19.0000,19.8000,17.9500,17.9600,18.0250,-0.8500,3556,0,9705
2018-02-12,U (Sep 2018),18.1000,18.3700,17.7300,18.1300,18.1500,0.1250,960,0,9809
2018-02-13,U (Sep 2018),18.1500,18.6500,18.1500,18.3700,18.3250,0.1750,1255,0,10177
2018-02-14,U (Sep 2018),18.3500,18.7500,17.8600,17.9400,17.9250,-0.4000,2922,0,11018
2018-02-15,U (Sep 2018),17.9500,18.0000,17.5300,17.5500,17.5500,-0.3750,2197,0,11059
2018-02-16,U (Sep 2018),17.5700,17.7000,17.3500,17.5700,17.5750,0.0250,2814,0,11178
2018-02-20,U (Sep 2018),17.4000,18.0000,17.3900,17.7000,17.6750,0.1000,2183,0,11626
2018-02-21,U (Sep 2018),17.7000,18.0500,17.3700,17.8900,17.8750,0.2000,2960,0,12080
2018-02-22,U (Sep 2018),17.8800,18.1700,17.5800,17.6000,17.5750,-0.3000,1308,0,12226
2018-02-23,U (Sep 2018),17.6200,17.7000,17.0800,17.1000,17.1250,-0.4500,1658,0,12348
2018-02-26,U (Sep 2018),17.0100,17.1400,16.8000,16.8000,16.8250,-0.3000,1055,0,12215
