date,time,open,high,low,close,volume
20130822,-,19.42,19.54,18.17,18.715,0
20130823,-,18.89,19.32,17.45,17.825,0
20130826,-,18.85,19.17,17.85,17.905,0
20130827,-,18.32,22.39,18.27,22.17,0
20130828,-,22.67,24.27,21.5,22.31,0
20130829,-,21.87,22.08,20.72,21.15,0
20130830,-,21.56,23.5,21.45,23.48,0
20130902,-,22.07,22.12,21.28,21.905,0
20130903,-,21.94,23.27,21.62,23.055,0
20130904,-,23.23,24.04,21.85,22.095,0
20130905,-,22.05,22.8,21.4,21.51,0
20130906,-,21.17,21.63,19.59,20.23,0
20130909,-,21.12,21.28,20.45,20.47,0
20130910,-,19.58,19.65,19.01,19.315,0
20130911,-,19.28,19.35,18.43,18.43,0
20130912,-,18.25,18.65,18.01,18.41,0
20130913,-,18.65,19.14,18.27,18.385,0
20130916,-,18.75,18.9,18.31,18.72,0
20130917,-,19.1,19.37,18.69,18.985,0
20130918,-,19.11,19.42,18.16,18.165,0
20130919,-,17.32,17.44,16.85,16.87,0
20130920,-,16.99,17.05,16.04,16.765,0
20130923,-,17.03,17.68,16.44,17.455,0
20130924,-,17.1,17.47,16.59,16.625,0
20130925,-,16.77,17.07,16.3,16.405,0
20130926,-,16.31,16.97,16.3,16.47,0
20130927,-,16.28,17.06,16.28,16.92,0
20130930,-,19.11,19.52,18.39,19.45,0
20131001,-,18.91,19.09,18.08,18.325,0
20131002,-,18.73,20.19,18.55,19.26,0
20131003,-,19.22,20.06,18.98,20.06,0
20131004,-,19.91,19.98,19.0,19.545,0
20131007,-,21.45,21.64,19.84,20.155,0
20131008,-,20.23,20.93,20.0,20.89,0
20131009,-,21.61,23.5,20.68,23.36,0
20131010,-,20.52,20.76,19.59,19.845,0
20131011,-,19.31,19.39,18.26,18.26,0
20131014,-,19.67,20.54,19.39,20.16,0
20131015,-,19.13,19.14,18.19,18.62,0
20131016,-,19.65,19.92,18.48,18.595,0
20131017,-,17.62,18.06,16.79,16.835,0
20131018,-,16.54,16.56,15.37,15.425,0
20131021,-,16.18,16.59,15.93,16.0,0
20131022,-,16.15,16.19,15.14,15.605,0
20131023,-,16.25,16.95,16.17,16.615,0
20131024,-,15.87,16.17,15.53,15.56,0
20131025,-,15.65,15.86,15.01,15.02,0
20131028,-,15.65,16.45,15.57,15.89,0
20131029,-,15.85,15.85,15.1,15.19,0
20131030,-,15.3,16.48,15.14,16.155,0
20131031,-,15.38,15.95,15.32,15.89,0
20131101,-,15.98,16.28,15.49,16.205,0
20131104,-,16.52,16.69,16.06,16.25,0
20131105,-,16.12,17.08,16.08,16.755,0
20131106,-,16.44,17.02,16.17,16.83,0
20131107,-,16.89,17.04,15.55,16.69,0
20131108,-,17.23,18.19,17.03,17.29,0
20131111,-,17.7,17.83,16.83,17.235,0
20131112,-,17.14,17.52,16.99,17.27,0
20131113,-,17.22,18.09,17.06,17.125,0
20131114,-,16.25,16.55,15.83,15.91,0
20131115,-,15.75,15.75,15.02,15.16,0
20131118,-,15.86,15.9,14.94,15.395,0
20131119,-,15.79,16.02,15.5,15.655,0
20131120,-,15.56,15.63,15.06,15.52,0
20131121,-,16.12,16.14,15.08,15.08,0
20131122,-,14.75,14.87,14.22,14.265,0
20131125,-,14.53,14.56,14.2,14.525,0
20131126,-,14.33,14.61,14.17,14.515,0
20131127,-,14.39,14.39,14.02,14.115,0
20131128,-,14.17,14.21,13.8,13.82,0
20131129,-,13.87,14.66,13.86,14.65,0
20131202,-,15.27,16.04,15.26,15.435,0
20131203,-,15.68,17.14,15.5,17.1,0
20131204,-,16.78,18.56,16.7,17.88,0
20131205,-,18.21,18.38,17.35,18.38,0
20131206,-,17.97,18.25,16.48,16.5,0
20131209,-,16.77,16.91,16.21,16.215,0
20131210,-,16.19,17.14,15.8,16.735,0
20131211,-,16.8,17.4,16.34,17.355,0
20131212,-,17.64,18.41,17.28,18.06,0
20131213,-,17.95,18.66,17.33,18.205,0
20131216,-,18.76,18.76,17.76,18.49,0
20131217,-,18.77,19.04,17.77,18.18,0
20131218,-,17.81,17.89,16.71,17.205,0
20131219,-,15.36,15.97,15.22,15.405,0
20131220,-,15.2,16.15,14.74,16.01,0
20131223,-,16.25,16.34,15.59,15.805,0
20131227,-,16.04,16.6,16.02,16.465,0
20131230,-,16.99,17.62,16.95,17.255,0
20140102,-,17.8,19.08,17.69,18.93,0
20140103,-,18.66,18.76,17.71,18.0,0
20140106,-,18.12,18.29,17.9,18.165,0
20140107,-,18.16,18.19,16.93,17.195,0
20140108,-,17.33,17.76,17.16,17.365,0
20140109,-,17.38,17.82,16.56,17.36,0
20140110,-,16.86,17.12,16.42,16.565,0
20140113,-,16.92,17.35,16.6,17.1,0
20140114,-,18.02,18.07,16.75,16.805,0
20140115,-,16.46,16.72,16.24,16.51,0
20140116,-,16.26,17.18,16.18,17.055,0
20140117,-,16.72,16.75,15.73,15.735,0
20140120,-,16.72,16.72,15.66,16.09,0
20140121,-,15.6,16.24,15.3,16.175,0
20140122,-,15.64,17.14,15.63,16.445,0
20140123,-,16.49,18.19,16.22,17.51,0
20140124,-,17.42,20.99,17.28,20.935,0
20140127,-,21.6,21.89,20.22,20.685,0
20140128,-,20.09,20.92,19.67,19.97,0
20140129,-,18.74,23.97,18.46,21.815,0
20140130,-,21.36,23.08,20.65,21.12,0
20140131,-,21.16,24.6,21.13,21.82,0
20140203,-,22.54,24.08,22.33,24.02,0
20140204,-,24.03,24.36,22.4,23.01,0
20140205,-,23.3,23.3,21.99,22.65,0
20140206,-,22.37,22.43,20.46,20.8,0
20140207,-,20.67,21.4,19.22,19.235,0
20140210,-,19.45,19.97,19.08,19.31,0
20140211,-,18.7,18.79,17.67,17.67,0
20140212,-,17.38,17.95,17.01,17.925,0
20140213,-,18.19,18.75,17.49,17.5,0
20140214,-,17.42,17.48,16.34,16.38,0
20140217,-,16.68,17.45,16.68,17.205,0
20140218,-,17.48,18.16,17.02,17.095,0
20140219,-,17.19,18.29,16.88,17.45,0
20140220,-,18.8,18.85,17.65,17.77,0
20140221,-,17.39,17.92,16.98,17.375,0
20140224,-,18.03,18.14,16.54,16.72,0
20140225,-,16.72,16.89,16.23,16.24,0
20140226,-,16.36,16.92,15.99,16.14,0
20140227,-,16.33,18.13,16.33,17.12,0
20140228,-,16.92,18.71,16.56,16.765,0
20140303,-,19.63,22.0,19.13,21.86,0
20140304,-,19.26,19.73,18.1,18.645,0
20140305,-,18.58,18.89,18.0,18.7,0
