day,price
560,69252
561,71374
562,72079
563,71004
564,66944
565,67305
566,66935
567,66359
568,68006
569,68044
570,62264
571,60873
572,59707
573,62004
574,61999
575,62717
576,62757
577,61598
578,63292
579,68601
580,70731
581,70141
582,69239
583,65548
584,67691
585,69250
586,64176
587,62401
588,61965
589,63014
590,61096
591,61670
592,63163
593,61910
594,61332
595,62238
596,62748
597,62544
598,61888
599,62277
600,62559
601,60173
602,59604
603,56649
604,56232
605,55367
606,55042
607,54564
608,55613
609,55082
610,53940
611,53156
612,53806
613,53449
614,52630
615,51554
616,51866
617,54041
618,54642
619,54269
620,54463
621,51576
622,50670
623,51398
624,51196
625,50688
626,50468
627,49483
628,50818
629,50970
630,49280
631,48249
632,48388
633,48251
634,48060
635,48915
636,48960
637,46479
638,46066
639,45979
640,45122
641,43894
642,43307
643,42354
644,41780
645,40779
646,41324
647,41127
648,40893
649,40129
650,39153
651,38509
652,37565
653,36736
654,36915
655,37041
656,36779
657,37577
658,37823
659,37554
660,36276
661,36397
662,35732
663,35825
664,36106
665,35948
666,35177
667,34876
668,34754
669,35008
670,34391
671,34622
672,34947
673,35346
674,37388
675,36067
676,34656
677,34428
678,35163
679,34589
680,34705
681,34968
682,35612
683,35666
684,34771
685,34396
686,33820
687,33964
688,34421
689,34526
690,33614
691,33505
692,33751
693,34234
694,33330
695,32479
696,32770
697,33117
698,33116
699,32920
700,33691
701,33324
702,33193
703,32800
704,30543
705,29997
706,29565
707,29589
708,29942
709,29087
710,29459
711,28565
712,28245
713,29316
714,29397
715,29319
716,28857
717,28413
718,28055
719,27934
720,27958
721,27557
722,27186
723,27362
724,27890
725,28375
726,27325
727,26504
728,26313
729,26328
730,25878
731,25614
732,25429
733,26379
734,26106
735,32582
736,29970
737,31282
738,33093
739,34641
740,32417
741,31854
742,30688
743,30648
744,30121
745,32986
746,34195
747,34374
748,35441
749,33276
750,32063
751,29610
752,29792
753,29766
754,29832
755,30891
756,32531
757,32320
758,32035
759,32658
760,31325
761,30862
762,30495
763,30347
764,29273
765,30249
766,29609
767,29148
768,27818
769,28188
770,28166
771,27958
772,27966
773,28390
774,28373
775,28081
776,28170
777,27979
778,28746
779,28759
780,28334
781,28131
782,28207
783,28388
784,28676
785,28326
786,29196
787,28553
788,29063
789,29227
790,28938
791,29146
792,28795
793,28371
794,28449
795,28346
796,29224
797,28833
