Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2015-07-27,J (Apr 2016),0.0000,17.5000,19.0000,0,18.2500,0,0,0,0
2015-07-28,J (Apr 2016),0.0000,18.4000,18.3500,18.2500,18.2750,0.0250,0,0,0
2015-07-29,J (Apr 2016),0.0000,18.2000,18.2500,18.2750,18.1750,-0.1000,0,0,0
2015-07-30,J (Apr 2016),0.0000,18.3000,18.4500,18.1750,18.3250,0.1500,0,0,0
2015-07-31,J (Apr 2016),0.0000,18.3000,18.4000,18.3250,18.2750,-0.0500,0,0,0
2015-08-03,J (Apr 2016),18.4000,18.4000,18.2000,18.2750,18.3250,0.0500,5,0,0
2015-08-04,J (Apr 2016),18.1500,18.2500,18.1500,18.3250,18.2500,-0.0750,3,0,0
2015-08-05,J (Apr 2016),0.0000,18.1500,18.1500,18.2500,18.2000,-0.0500,0,0,0
2015-08-06,J (Apr 2016),18.3000,18.4000,18.3000,18.2000,18.3750,0.1750,2,0,0
2015-08-07,J (Apr 2016),18.5500,18.5500,18.4500,18.3750,18.3250,-0.0500,1,0,0
2015-08-10,J (Apr 2016),18.1500,18.1500,18.1000,18.3250,18.1750,-0.1500,4,0,0
2015-08-11,J (Apr 2016),18.3000,18.5000,18.2000,18.1750,18.4500,0.2750,26,0,0
2015-08-12,J (Apr 2016),18.5000,18.9000,18.3900,18.4500,18.4000,-0.0500,35,0,0
2015-08-13,J (Apr 2016),18.2500,18.4000,18.2500,18.4000,18.3000,-0.1000,12,0,0
2015-08-14,J (Apr 2016),18.2000,18.3000,18.2000,18.3000,18.2000,-0.1000,9,0,0
2015-08-17,J (Apr 2016),18.2000,18.2500,18.2000,18.2000,18.2500,0.0500,29,0,0
2015-08-18,J (Apr 2016),18.3000,18.4000,18.3000,18.2500,18.3500,0.1000,81,0,0
2015-08-19,J (Apr 2016),18.5000,18.5500,18.3000,18.3500,18.5750,0.2250,256,0,0
2015-08-20,J (Apr 2016),18.6000,19.0000,18.5000,18.5750,18.9750,0.4000,210,0,0
2015-08-21,J (Apr 2016),18.8900,19.4500,18.8400,18.9750,19.4750,0.5000,368,0,0
2015-08-24,J (Apr 2016),19.6000,21.6000,19.4500,19.4750,20.7750,1.3000,844,0,0
2015-08-25,J (Apr 2016),21.9500,21.9500,19.8000,20.7750,20.9000,0.1250,1502,0,0
2015-08-26,J (Apr 2016),21.2500,21.3000,20.3400,20.9000,20.3250,-0.5750,475,0,0
2015-08-27,J (Apr 2016),20.3500,20.9000,19.9000,20.3250,20.6250,0.3000,913,0,0
2015-08-28,J (Apr 2016),20.4000,21.8500,20.4000,20.6250,21.4750,0.8500,763,0,0
2015-08-31,J (Apr 2016),21.8500,22.3000,21.5000,21.4750,22.3500,0.8750,692,0,0
2015-09-01,J (Apr 2016),22.3800,24.3500,22.3500,22.3500,23.9000,1.5500,1973,0,0
2015-09-02,J (Apr 2016),23.9500,23.9900,23.0500,23.9000,23.0500,-0.8500,1437,0,0
2015-09-03,J (Apr 2016),22.0000,23.5500,22.0000,23.0500,23.2000,0.1500,768,0,0
2015-09-04,J (Apr 2016),22.9000,24.0600,22.9000,23.2000,23.7750,0.5750,704,0,0
2015-09-08,J (Apr 2016),23.5000,23.7000,22.9000,23.7750,22.8750,-0.9000,242,0,0
2015-09-09,J (Apr 2016),22.7500,23.1500,22.4000,22.8750,23.1000,0.2250,538,0,0
2015-09-10,J (Apr 2016),23.1500,23.5500,22.7500,23.1000,22.8000,-0.3000,434,0,0
2015-09-11,J (Apr 2016),23.4000,23.4000,22.6500,22.8000,22.7750,-0.0250,101,0,0
2015-09-14,J (Apr 2016),22.7500,23.1900,22.5000,22.7750,22.6500,-0.1250,191,0,0
2015-09-15,J (Apr 2016),22.5200,22.7500,21.4000,22.6500,21.4500,-1.2000,1005,0,0
2015-09-16,J (Apr 2016),21.4500,21.5300,20.3400,21.4500,20.3500,-1.1000,1508,0,0
2015-09-17,J (Apr 2016),20.2000,20.8500,19.7000,20.3500,20.7750,0.4250,3155,0,0
2015-09-18,J (Apr 2016),20.7000,21.6000,20.5500,20.7750,21.4500,0.6750,2302,0,0
2015-09-21,J (Apr 2016),21.5000,21.6000,20.7900,21.4500,20.7750,-0.6750,1382,0,0
2015-09-22,J (Apr 2016),20.7300,21.9800,20.7300,20.7750,21.5250,0.7500,2594,0,0
2015-09-23,J (Apr 2016),21.9000,21.9300,21.0800,21.5250,21.2250,-0.3000,1076,0,0
2015-09-24,J (Apr 2016),21.1500,22.1000,21.0500,21.2250,21.6750,0.4500,1414,0,0
2015-09-25,J (Apr 2016),21.6000,22.0000,21.0300,21.6750,21.9250,0.2500,910,0,0
2015-09-28,J (Apr 2016),21.9500,22.7200,21.7000,21.9250,22.4250,0.5000,1870,0,0
2015-09-29,J (Apr 2016),22.4700,22.7500,22.1300,22.4250,22.6250,0.2000,2492,0,0
2015-09-30,J (Apr 2016),22.6000,22.6500,22.1400,22.6250,22.4250,-0.2000,1706,0,0
2015-10-01,J (Apr 2016),22.3000,22.6000,21.9400,22.4250,22.0500,-0.3750,1142,0,0
2015-10-02,J (Apr 2016),22.0100,22.4800,21.4000,22.0500,21.4750,-0.5750,1435,0,0
2015-10-05,J (Apr 2016),21.6300,21.6500,20.6500,21.4750,20.7250,-0.7500,1418,0,0
2015-10-06,J (Apr 2016),20.7400,21.0500,20.5500,20.7250,21.0250,0.3000,851,0,0
