Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-07-25,J (Apr 2017),0.0000,0.0000,0.0000,0,20.3250,0,0,0,0
2016-07-26,J (Apr 2017),20.0000,20.3000,20.0000,20.3250,22.4250,2.1000,6,0,3
2016-07-27,J (Apr 2017),0.0000,20.4000,21.5000,22.4250,20.2750,-2.1500,0,0,3
2016-07-28,J (Apr 2017),0.0000,19.1500,21.5000,20.2750,20.3250,0.0500,0,0,3
2016-07-29,J (Apr 2017),20.0000,20.0100,17.0500,20.3250,20.4250,0.1000,3,0,4
2016-08-01,J (Apr 2017),0.0000,19.0500,21.4500,20.4250,20.2500,-0.1750,0,0,4
2016-08-02,J (Apr 2017),19.9600,20.3500,19.9600,20.2500,20.1750,-0.0750,48,0,52
2016-08-03,J (Apr 2017),20.2400,20.2400,20.1500,20.1750,20.0250,-0.1500,28,0,79
2016-08-04,J (Apr 2017),20.0000,20.1700,20.0000,20.0250,19.9000,-0.1250,32,0,108
2016-08-05,J (Apr 2017),19.9500,19.9900,19.9100,19.9000,19.9500,0.0500,142,0,250
2016-08-08,J (Apr 2017),20.0000,20.0000,20.0000,19.9500,19.9500,0.0000,1,0,251
2016-08-09,J (Apr 2017),19.8000,19.8200,19.6000,19.9500,19.6750,-0.2750,36,0,285
2016-08-10,J (Apr 2017),0.0000,19.3000,19.8500,19.6750,19.6500,-0.0250,0,0,285
2016-08-11,J (Apr 2017),19.7300,20.0000,19.6900,19.6500,19.5750,-0.0750,56,0,341
2016-08-12,J (Apr 2017),19.8200,19.9600,19.8000,19.5750,19.8500,0.2750,23,0,362
2016-08-15,J (Apr 2017),19.8300,19.9700,19.8300,19.8500,19.9000,0.0500,42,0,404
2016-08-16,J (Apr 2017),19.9500,20.2600,19.9500,19.9000,20.1000,0.2000,59,0,446
2016-08-17,J (Apr 2017),20.1100,20.3700,20.0500,20.1000,20.0750,-0.0250,124,0,535
2016-08-18,J (Apr 2017),20.1500,20.2500,20.0500,20.0750,20.2000,0.1250,21,0,543
2016-08-19,J (Apr 2017),20.3000,20.3800,20.1900,20.2000,20.3000,0.1000,96,0,597
2016-08-22,J (Apr 2017),20.3000,20.4000,20.2800,20.3000,20.3250,0.0250,96,0,662
2016-08-23,J (Apr 2017),20.2500,20.4000,20.2200,20.3250,20.3750,0.0500,89,0,726
2016-08-24,J (Apr 2017),20.4000,20.5000,20.3500,20.3750,20.4750,0.1000,55,0,759
2016-08-25,J (Apr 2017),20.4400,20.5000,20.3500,20.4750,20.3750,-0.1000,93,0,799
2016-08-26,J (Apr 2017),20.3900,20.6700,20.1000,20.3750,20.5250,0.1500,219,0,916
2016-08-29,J (Apr 2017),20.4500,20.5000,20.3000,20.5250,20.4750,-0.0500,224,0,1029
2016-08-30,J (Apr 2017),20.4100,20.5100,20.3700,20.4750,20.4500,-0.0250,266,0,1230
2016-08-31,J (Apr 2017),20.4600,20.6300,20.4600,20.4500,20.4750,0.0250,225,0,1381
2016-09-01,J (Apr 2017),20.5000,20.7000,20.4000,20.4750,20.5500,0.0750,1064,0,2243
2016-09-02,J (Apr 2017),20.6000,20.6100,20.4400,20.5500,20.4500,-0.1000,207,0,2364
2016-09-06,J (Apr 2017),20.4900,20.4900,20.3000,20.4500,20.2750,-0.1750,292,0,2547
2016-09-07,J (Apr 2017),20.2500,20.3500,20.2000,20.2750,20.2500,-0.0250,100,0,2583
2016-09-08,J (Apr 2017),20.3000,20.4000,20.2400,20.2500,20.3500,0.1000,423,0,2629
2016-09-09,J (Apr 2017),20.4000,21.2700,20.4000,20.3500,21.2250,0.8750,689,0,2875
2016-09-12,J (Apr 2017),21.4000,21.4000,20.5500,21.2250,20.8000,-0.4250,1150,0,3276
2016-09-13,J (Apr 2017),20.8500,21.6000,20.8500,20.8000,21.2000,0.4000,680,0,3421
2016-09-14,J (Apr 2017),21.1300,21.4500,21.0700,21.2000,21.4000,0.2000,817,0,3513
2016-09-15,J (Apr 2017),21.4000,21.4900,21.0200,21.4000,21.1250,-0.2750,860,0,3871
2016-09-16,J (Apr 2017),21.2200,21.4000,20.9000,21.1250,20.9250,-0.2000,716,0,4128
2016-09-19,J (Apr 2017),20.8300,20.9400,20.6000,20.9250,20.6500,-0.2750,723,0,4394
2016-09-20,J (Apr 2017),20.6800,20.7500,20.5500,20.6500,20.7500,0.1000,409,0,4571
2016-09-21,J (Apr 2017),20.7600,20.8300,20.2800,20.7500,20.4250,-0.3250,2502,0,5688
2016-09-22,J (Apr 2017),20.4000,20.4300,19.9900,20.4250,20.0250,-0.4000,1227,0,6339
2016-09-23,J (Apr 2017),19.9500,20.1500,19.8900,20.0250,20.1750,0.1500,588,0,6259
2016-09-26,J (Apr 2017),20.1500,20.4800,20.1000,20.1750,20.3000,0.1250,1766,0,6643
2016-09-27,J (Apr 2017),20.2500,20.4500,19.9000,20.3000,19.9750,-0.3250,1504,0,6933
2016-09-28,J (Apr 2017),19.9800,20.1800,19.7800,19.9750,19.9250,-0.0500,931,0,7302
2016-09-29,J (Apr 2017),19.8500,20.3900,19.8100,19.9250,19.9750,0.0500,1698,0,7943
2016-09-30,J (Apr 2017),20.0000,20.3300,19.8200,19.9750,19.9750,0.0000,2523,0,8470
2016-10-03,J (Apr 2017),19.8500,20.0200,19.7300,19.9750,19.8000,-0.1750,778,0,8750
2016-10-04,J (Apr 2017),19.7500,19.9800,19.5500,19.8000,19.5750,-0.2250,1270,0,8880
2016-10-05,J (Apr 2017),19.5500,19.7500,19.4600,19.5750,19.7250,0.1500,1437,0,9008
2016-10-06,J (Apr 2017),19.7000,19.8400,19.5500,19.7250,19.6250,-0.1000,927,0,9236
2016-10-07,J (Apr 2017),19.6400,19.8700,19.5400,19.6250,19.7000,0.0750,1360,0,9499
