Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2016-05-23,G (Feb 2017),0.0000,18.0000,24.0000,0,21.0000,0,0,0,0
2016-05-24,G (Feb 2017),21.3000,21.3000,21.3000,21.0000,24.0000,3.0000,3,0,3
2016-05-25,G (Feb 2017),21.5000,21.5000,21.0800,24.0000,20.9750,-3.0250,7,0,5
2016-05-26,G (Feb 2017),0.0000,19.9000,21.4500,20.9750,20.7250,-0.2500,0,0,5
2016-05-27,G (Feb 2017),0.0000,20.1500,21.1500,20.7250,20.6500,-0.0750,0,0,5
2016-05-31,G (Feb 2017),20.9000,21.0500,20.7500,20.6500,20.9250,0.2750,4,0,9
2016-06-01,G (Feb 2017),20.3000,21.4000,20.3000,20.9250,20.8750,-0.0500,6,0,10
2016-06-02,G (Feb 2017),20.9500,20.9500,20.7200,20.8750,20.6500,-0.2250,24,0,32
2016-06-03,G (Feb 2017),0.0000,20.8000,20.9000,20.6500,20.7000,0.0500,0,0,32
2016-06-06,G (Feb 2017),20.5900,20.6500,20.5500,20.7000,20.7000,0.0000,4,0,34
2016-06-07,G (Feb 2017),0.0000,20.6500,20.7500,20.7000,20.7250,0.0250,0,0,34
2016-06-08,G (Feb 2017),20.8500,20.8800,20.8200,20.7250,20.7750,0.0500,33,0,53
2016-06-09,G (Feb 2017),20.9000,21.1000,20.9000,20.7750,21.0000,0.2250,49,0,93
2016-06-10,G (Feb 2017),21.1000,21.7300,21.1000,21.0000,21.7250,0.7250,24,0,103
2016-06-13,G (Feb 2017),21.9500,22.5900,21.9000,21.7250,22.3250,0.6000,14,0,113
2016-06-14,G (Feb 2017),22.7000,22.9600,22.3000,22.3250,22.2250,-0.1000,25,0,131
2016-06-15,G (Feb 2017),22.5300,22.5500,21.8500,22.2250,22.1500,-0.0750,49,0,155
2016-06-16,G (Feb 2017),22.8300,22.8500,21.7500,22.1500,21.8500,-0.3000,49,0,155
2016-06-17,G (Feb 2017),21.9000,22.0000,21.7000,21.8500,21.8750,0.0250,71,0,178
2016-06-20,G (Feb 2017),21.5000,21.5500,21.0800,21.8750,21.2250,-0.6500,184,0,276
2016-06-21,G (Feb 2017),21.1000,21.3500,20.9500,21.2250,21.2000,-0.0250,345,0,472
2016-06-22,G (Feb 2017),21.1000,21.3100,20.9300,21.2000,21.0250,-0.1750,367,0,617
2016-06-23,G (Feb 2017),21.0800,21.1000,20.4000,21.0250,20.3250,-0.7000,65,0,637
2016-06-24,G (Feb 2017),20.3000,23.8000,20.2500,20.3250,22.3250,2.0000,763,0,808
2016-06-27,G (Feb 2017),22.6700,23.0000,21.9000,22.3250,22.9250,0.6000,988,0,1286
2016-06-28,G (Feb 2017),22.6700,23.0000,21.6500,22.9250,21.6750,-1.2500,584,0,1392
2016-06-29,G (Feb 2017),21.6500,21.6500,21.2000,21.6750,21.2000,-0.4750,757,0,1449
2016-06-30,G (Feb 2017),21.2000,21.3100,21.0000,21.2000,21.0750,-0.1250,210,0,1502
2016-07-01,G (Feb 2017),21.0500,21.3700,21.0000,21.0750,21.1750,0.1000,57,0,1538
2016-07-05,G (Feb 2017),21.1500,21.6000,20.9500,21.1750,21.1750,0.0000,582,0,1845
2016-07-06,G (Feb 2017),21.2000,21.4500,21.0500,21.1750,21.1000,-0.0750,263,0,1921
2016-07-07,G (Feb 2017),21.0500,21.4500,20.9500,21.1000,21.1000,0.0000,281,0,2068
2016-07-08,G (Feb 2017),21.1000,21.2000,20.5500,21.1000,20.6750,-0.4250,247,0,2031
2016-07-11,G (Feb 2017),20.5000,20.6500,20.4000,20.6750,20.6000,-0.0750,322,0,2145
2016-07-12,G (Feb 2017),20.5000,20.6000,20.3800,20.6000,20.3750,-0.2250,298,0,2177
2016-07-13,G (Feb 2017),20.3500,20.4500,20.2400,20.3750,20.2500,-0.1250,193,0,2288
2016-07-14,G (Feb 2017),20.2000,20.2500,19.9500,20.2500,20.1750,-0.0750,317,0,2508
2016-07-15,G (Feb 2017),20.2500,20.4000,20.1500,20.1750,20.3250,0.1500,183,0,2583
2016-07-18,G (Feb 2017),20.3000,20.3600,20.0800,20.3250,20.1250,-0.2000,321,0,2683
2016-07-19,G (Feb 2017),20.2000,20.3600,20.1000,20.1250,20.2250,0.1000,1191,0,3146
2016-07-20,G (Feb 2017),20.2500,20.2500,20.0500,20.2250,20.1250,-0.1000,787,0,3343
2016-07-21,G (Feb 2017),20.1000,20.5000,20.0700,20.1250,20.4500,0.3250,1436,0,4247
2016-07-22,G (Feb 2017),20.4500,20.4500,20.0600,20.4500,20.1750,-0.2750,1029,0,4203
2016-07-25,G (Feb 2017),20.2500,20.4500,20.0500,20.1750,20.3250,0.1500,1115,0,4511
2016-07-26,G (Feb 2017),20.2500,20.4800,20.1800,20.3250,20.2750,-0.0500,515,0,4577
2016-07-27,G (Feb 2017),20.3000,20.4300,20.0900,20.2750,20.1750,-0.1000,1165,0,4724
2016-07-28,G (Feb 2017),20.1000,20.3000,19.9000,20.1750,19.9250,-0.2500,1241,0,4833
2016-07-29,G (Feb 2017),19.8500,20.0100,19.5500,19.9250,19.5750,-0.3500,1131,0,5073
2016-08-01,G (Feb 2017),19.6000,19.7500,19.3700,19.5750,19.5250,-0.0500,1365,0,5625
2016-08-02,G (Feb 2017),19.5300,20.1100,19.4500,19.5250,19.8750,0.3500,2076,0,6262
2016-08-03,G (Feb 2017),19.8500,20.0500,19.7400,19.8750,19.7750,-0.1000,885,0,6375
2016-08-04,G (Feb 2017),19.8300,19.8500,19.6000,19.7750,19.7250,-0.0500,1618,0,7075
2016-08-05,G (Feb 2017),19.7000,19.7100,19.3500,19.7250,19.4750,-0.2500,896,0,6914
2016-08-08,G (Feb 2017),19.4500,19.4500,19.2500,19.4750,19.3250,-0.1500,1069,0,7133
2016-08-09,G (Feb 2017),19.2500,19.3000,18.9300,19.3250,19.1000,-0.2250,857,0,7292
2016-08-10,G (Feb 2017),19.0500,19.4000,18.9900,19.1000,19.2250,0.1250,1525,0,7357
2016-08-11,G (Feb 2017),19.3000,19.3500,19.0200,19.2250,19.3250,0.1000,1180,0,7644
2016-08-12,G (Feb 2017),19.2900,19.4500,19.2500,19.3250,19.3750,0.0500,1218,0,8078
2016-08-15,G (Feb 2017),19.3000,19.4000,19.1500,19.3750,19.3750,0.0000,1325,0,8510
2016-08-16,G (Feb 2017),19.3000,19.6500,19.3000,19.3750,19.6250,0.2500,1139,0,8819
2016-08-17,G (Feb 2017),19.6300,19.8800,19.4300,19.6250,19.4750,-0.1500,3028,0,9070
2016-08-18,G (Feb 2017),19.4500,19.6500,19.4000,19.4750,19.5250,0.0500,1304,0,9229
2016-08-19,G (Feb 2017),19.4500,19.7500,19.4500,19.5250,19.6250,0.1000,1207,0,9524
2016-08-22,G (Feb 2017),19.6800,19.7500,19.5600,19.6250,19.6750,0.0500,2313,0,10142
2016-08-23,G (Feb 2017),19.6500,19.7500,19.5400,19.6750,19.7250,0.0500,1189,0,10176
2016-08-24,G (Feb 2017),19.7500,19.8700,19.7000,19.7250,19.8250,0.1000,2881,0,11294
2016-08-25,G (Feb 2017),19.8500,19.9000,19.6000,19.8250,19.6750,-0.1500,1477,0,11497
2016-08-26,G (Feb 2017),19.6500,19.9800,19.4000,19.6750,19.7750,0.1000,2596,0,11571
2016-08-29,G (Feb 2017),19.8200,19.8500,19.6000,19.7750,19.6750,-0.1000,2060,0,12014
2016-08-30,G (Feb 2017),19.7300,19.7800,19.5900,19.6750,19.6750,0.0000,2034,0,12751
2016-08-31,G (Feb 2017),19.6500,19.8600,19.6300,19.6750,19.6250,-0.0500,2044,0,13156
2016-09-01,G (Feb 2017),19.6500,19.8800,19.5500,19.6250,19.6750,0.0500,3423,0,13635
2016-09-02,G (Feb 2017),19.6500,19.8000,19.5000,19.6750,19.5750,-0.1000,3671,0,13594
2016-09-06,G (Feb 2017),19.5000,19.6000,19.3000,19.5750,19.2750,-0.3000,1765,0,13881
2016-09-07,G (Feb 2017),19.3000,19.4100,19.2500,19.2750,19.2750,0.0000,2077,0,14574
2016-09-08,G (Feb 2017),19.3500,19.4700,19.2200,19.2750,19.4250,0.1500,1742,0,15141
2016-09-09,G (Feb 2017),19.4500,20.5000,19.4500,19.4250,20.4250,1.0000,6387,0,15789
2016-09-12,G (Feb 2017),20.4000,20.6900,19.8200,20.4250,19.9750,-0.4500,6679,0,16023
2016-09-13,G (Feb 2017),19.9500,20.8500,19.9500,19.9750,20.3750,0.4000,5306,0,15946
2016-09-14,G (Feb 2017),20.3500,20.7500,20.2100,20.3750,20.7250,0.3500,4321,0,16107
2016-09-15,G (Feb 2017),20.7200,20.8000,20.2400,20.7250,20.4000,-0.3250,3744,0,16476
2016-09-16,G (Feb 2017),20.4000,20.6800,20.1300,20.4000,20.1250,-0.2750,3235,0,17017
2016-09-19,G (Feb 2017),20.1000,20.2200,19.7500,20.1250,19.9250,-0.2000,3941,0,17417
2016-09-20,G (Feb 2017),19.9000,20.0500,19.7500,19.9250,20.0750,0.1500,2288,0,17342
2016-09-21,G (Feb 2017),20.0800,20.1300,19.4500,20.0750,19.6250,-0.4500,6603,0,17075
2016-09-22,G (Feb 2017),19.6500,19.6500,19.1800,19.6250,19.2750,-0.3500,6621,0,17751
2016-09-23,G (Feb 2017),19.2300,19.3500,19.0500,19.2750,19.3500,0.0750,3525,0,17743
2016-09-26,G (Feb 2017),19.2900,19.7700,19.2500,19.3500,19.4750,0.1250,3884,0,17726
2016-09-27,G (Feb 2017),19.4500,19.6400,19.0000,19.4750,19.1000,-0.3750,5342,0,17514
2016-09-28,G (Feb 2017),19.1300,19.3500,18.9000,19.1000,18.9750,-0.1250,3213,0,17143
2016-09-29,G (Feb 2017),18.9700,19.5800,18.9000,18.9750,19.1250,0.1500,5864,0,18678
2016-09-30,G (Feb 2017),19.1000,19.5000,18.9200,19.1250,19.0500,-0.0750,4182,0,17335
2016-10-03,G (Feb 2017),19.1000,19.2000,18.8500,19.0500,18.8750,-0.1750,3197,0,17366
2016-10-04,G (Feb 2017),18.9000,19.0800,18.6000,18.8750,18.6250,-0.2500,4556,0,17707
2016-10-05,G (Feb 2017),18.6500,18.8500,18.5400,18.6250,18.7750,0.1500,3008,0,17469
2016-10-06,G (Feb 2017),18.8000,18.9300,18.6500,18.7750,18.7250,-0.0500,2951,0,18729
2016-10-07,G (Feb 2017),18.8000,19.0300,18.6500,18.7250,18.8500,0.1250,4609,0,19089
2016-10-10,G (Feb 2017),18.8000,18.8000,18.5500,18.8500,18.5750,-0.2750,3061,0,19785
2016-10-11,G (Feb 2017),18.5700,19.2000,18.5500,18.5750,18.9250,0.3500,7767,0,20631
2016-10-12,G (Feb 2017),18.9500,19.1000,18.7700,18.9250,19.0750,0.1500,5527,0,21542
2016-10-13,G (Feb 2017),19.1000,19.6500,19.0700,19.0750,19.3000,0.2250,6701,0,20419
2016-10-14,G (Feb 2017),19.3000,19.3200,18.8800,19.3000,19.1750,-0.1250,4652,0,20476
2016-10-17,G (Feb 2017),19.1600,19.3500,18.9200,19.1750,19.0250,-0.1500,2380,0,20812
2016-10-18,G (Feb 2017),19.0500,19.0500,18.7000,19.0250,18.8750,-0.1500,4317,0,22261
2016-10-19,G (Feb 2017),18.8500,18.8800,18.5000,18.8750,18.6000,-0.2750,6123,0,21947
2016-10-20,G (Feb 2017),18.6300,18.8500,18.5400,18.6000,18.5750,-0.0250,5136,0,21973
2016-10-21,G (Feb 2017),18.5700,18.7900,18.3400,18.5750,18.4250,-0.1500,5274,0,22287
2016-10-24,G (Feb 2017),18.4000,18.4700,18.0000,18.4250,18.0250,-0.4000,4794,0,22533
2016-10-25,G (Feb 2017),18.0500,18.2500,17.9800,18.0250,18.0750,0.0500,6589,0,23450
2016-10-26,G (Feb 2017),18.0500,18.3500,18.0500,18.0750,18.2750,0.2000,5960,0,24078
2016-10-27,G (Feb 2017),18.3200,18.6300,18.0800,18.2750,18.6250,0.3500,6773,0,24095
2016-10-28,G (Feb 2017),18.6000,18.9500,18.4000,18.6250,18.7250,0.1000,11376,0,24824
2016-10-31,G (Feb 2017),18.8000,18.9000,18.6200,18.7250,18.7750,0.0500,7953,0,25628
2016-11-01,G (Feb 2017),18.7600,19.4300,18.6100,18.7750,19.1250,0.3500,11540,0,26611
2016-11-02,G (Feb 2017),19.1000,19.3000,18.9500,19.1250,19.2750,0.1500,7811,0,26643
2016-11-03,G (Feb 2017),19.2700,19.9900,19.0500,19.2750,19.9250,0.6500,12629,0,28012
2016-11-04,G (Feb 2017),19.9000,19.9500,19.4300,19.9250,19.8750,-0.0500,11855,0,28790
2016-11-07,G (Feb 2017),19.5000,19.5000,18.1000,19.8750,18.1250,-1.7500,10834,0,28066
2016-11-08,G (Feb 2017),18.1000,18.5000,17.9000,18.1250,18.1750,0.0500,12695,0,26295
2016-11-09,G (Feb 2017),18.1800,21.0300,17.5400,18.1750,17.5750,-0.6000,24239,0,26084
2016-11-10,G (Feb 2017),17.5500,18.3000,17.2000,17.5750,17.9250,0.3500,20137,0,25096
2016-11-11,G (Feb 2017),18.0000,18.5500,17.8700,17.9250,17.9250,0.0000,15421,0,27758
2016-11-14,G (Feb 2017),18.0000,18.5000,17.6800,17.9250,17.9250,0.0000,12952,0,27312
2016-11-15,G (Feb 2017),17.9500,18.0800,17.5500,17.9250,17.7250,-0.2000,24613,0,29973
2016-11-16,G (Feb 2017),17.7600,18.1000,17.6500,17.7250,17.8250,0.1000,21476,0,33020
2016-11-17,G (Feb 2017),17.7500,17.8500,17.4900,17.8250,17.4750,-0.3500,14449,0,30642
2016-11-18,G (Feb 2017),17.4900,17.7700,17.3500,17.4750,17.5000,0.0250,18018,0,29582
2016-11-21,G (Feb 2017),17.5000,17.5300,17.0500,17.5000,17.1750,-0.3250,13166,0,30049
2016-11-22,G (Feb 2017),17.2000,17.4000,17.0000,17.1750,17.1750,0.0000,13784,0,30439
2016-11-23,G (Feb 2017),17.1700,17.4000,17.0700,17.1750,17.3250,0.1500,10594,0,31715
2016-11-25,G (Feb 2017),17.3000,17.4000,17.1300,17.3250,17.1750,-0.1500,7470,0,32710
2016-11-28,G (Feb 2017),17.2000,17.5000,17.1900,17.1750,17.2750,0.1000,13780,0,33688
2016-11-29,G (Feb 2017),17.2800,17.3400,17.1000,17.2750,17.2250,-0.0500,10002,0,33710
2016-11-30,G (Feb 2017),17.2000,17.3400,17.0300,17.2250,17.2750,0.0500,17573,0,33712
2016-12-01,G (Feb 2017),17.3000,17.8000,17.1000,17.2750,17.5750,0.3000,16543,0,33763
2016-12-02,G (Feb 2017),17.5500,17.7500,17.2600,17.5750,17.6750,0.1000,17837,0,34141
2016-12-05,G (Feb 2017),17.7000,18.0000,16.8500,17.6750,16.8750,-0.8000,19627,0,36481
2016-12-06,G (Feb 2017),16.9000,16.9500,16.5800,16.8750,16.6250,-0.2500,19078,0,39321
